L3: IP Packet: Src=13.89.178.26, Dst=192.168.1.6

L3: IP Packet: Src=192.168.1.6, Dst=13.89.178.26
L2: MAC Address: Src=a2:08:c0:c8:53:b7, Dst=64:6c:80:10:c4:05
L3: IP Packet: Src=192.168.1.5, Dst=224.0.0.251
L3: IP Packet: Src=63.140.62.222, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=63.140.62.222
L3: IP Packet: Src=20.42.73.31, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.42.73.31
L3: IP Packet: Src=52.178.17.235, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=52.178.17.235
L3: IP Packet: Src=20.189.173.14, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.189.173.14
L3: IP Packet: Src=13.89.179.8, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=13.89.179.8
L3: IP Packet: Src=20.42.65.91, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.42.65.91
L3: IP Packet: Src=40.69.83.104, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=40.69.83.104
L3: IP Packet: Src=20.103.156.88, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.103.156.88
L3: IP Packet: Src=51.104.136.2, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=51.104.136.2
L3: IP Packet: Src=40.118.94.234, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=40.118.94.234
L3: IP Packet: Src=20.72.150.55, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.72.150.55
L3: IP Packet: Src=20.223.35.26, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.223.35.26
L3: IP Packet: Src=20.234.120.54, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=20.234.120.54
L3: IP Packet: Src=104.208.16.91, Dst=192.168.1.6
L3: IP Packet: Src=192.168.1.6, Dst=104.208.16.91
L3: IP Packet: Src=192.168.1.145, Dst=224.0.0.22
L2: MAC Address: Src=b0:8b:92:ec:04:18, Dst=64:6c:80:10:c4:05
L3: IP Packet: Src=192.168.1.145, Dst=224.0.0.251
L3: IP Packet: Src=192.168.1.145, Dst=224.0.0.252
L3: IP Packet: Src=192.168.1.145, Dst=192.168.1.255
L3: IP Packet: Src=192.168.1.1, Dst=255.255.255.255
L2: MAC Address: Src=b0:8b:92:ec:04:18, Dst=33:33:00:00:00:01
L2: MAC Address: Src=64:e4:a5:b5:6d:23, Dst=33:33:00:00:00:fb
L2: MAC Address: Src=64:6c:80:10:c4:05, Dst=33:33:ff:20:77:31
L2: MAC Address: Src=64:6c:80:10:c4:05, Dst=33:33:ff:df:74:fd
L2: MAC Address: Src=64:6c:80:10:c4:05, Dst=b0:8b:92:ec:04:18
L2: MAC Address: Src=b0:8b:92:ec:04:18, Dst=33:33:ff:df:74:fd
L3: IP Packet: Src=86.124.128.139, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=86.124.128.139
L3: IP Packet: Src=192.168.1.128, Dst=255.255.255.255
L3: IP Packet: Src=92.122.18.55, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=92.122.18.55
L3: IP Packet: Src=20.189.173.16, Dst=192.168.1.145
L3: IP Packet: Src=13.74.138.242, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=13.74.138.242
L3: IP Packet: Src=192.168.1.145, Dst=172.64.146.98
L3: IP Packet: Src=172.64.146.98, Dst=192.168.1.145
L3: IP Packet: Src=20.42.73.26, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=20.42.73.26
L3: IP Packet: Src=192.168.1.145, Dst=104.18.35.28
L3: IP Packet: Src=104.18.35.28, Dst=192.168.1.145
L3: IP Packet: Src=104.22.63.125, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=104.22.63.125
L3: IP Packet: Src=20.199.120.151, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=20.199.120.151
L3: IP Packet: Src=192.0.73.2, Dst=192.168.1.145
L3: IP Packet: Src=192.168.1.145, Dst=192.0.73.2
L2: MAC Address: Src=ca:53:2d:ab:4c:7b, Dst=33:33:00:00:00:16
L2: MAC Address: Src=64:6c:80:10:c4:05, Dst=33:33:ff:2b:08:61
L2: MAC Address: Src=b0:8b:92:ed:4f:c8, Dst=33:33:ff:2b:08:61
L2: MAC Address: Src=b0:8b:92:ed:4f:c9, Dst=64:6c:80:10:c4:05
L3: IP Packet: Src=52.167.167.59, Dst=192.168.1.137
L3: IP Packet: Src=192.168.1.137, Dst=52.167.167.59
